mfd_date,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,total_purchase_amt,total_redeem_amt,direct_purchase_amt,share_amt,consume_amt,transfer_amt,fea0,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9
2013/7/1,1.5787,6.307,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125,32488348,5525022,32458786,29562,382160,5142862,-3.3794,-0.3535,-0.5724,-0.522,-0.1922,-0.3148,0.0799,-0.0999,-0.0239,0.0028
2013/7/2,1.5461,6.174,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407,29037390,2554548,29007510,29880,350066,2204482,-1.6895,-0.3767,-0.5395,-0.7632,-0.2631,-0.039,-0.0174,-0.0794,-0.0249,0.0055
2013/7/3,1.467,6.034,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022,27270770,5953867,27234156,36614,454406,5499461,-0.7331,-0.3265,-0.5288,-0.762,-0.4167,0.1166,-0.0393,-0.1209,-0.0292,-0.0013
2013/7/4,1.4223,5.903,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4,18321185,6410729,18282230,38955,535391,5875338,-0.3711,-0.2115,-0.6385,-0.6685,-0.4533,0.0225,-0.0832,-0.1306,-0.0133,-0.0035
2013/7/5,1.3845,5.739,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,11648749,2763587,11607991,40758,697926,2065661,-0.0236,-0.0144,-0.5198,-0.7478,-0.5011,-0.0182,-0.1104,-0.1234,-0.0113,0.0034
2013/7/6,1.3674,5.582,3.3566,3.7516,4.099,4.5052,4.8876,4.2262,4.2741,4.4001,36751272,1616635,36709190,42082,300533,1316102,0.3051,0.1309,-0.4095,-0.8327,-0.4769,-0.0149,-0.1173,-0.0935,-0.0099,-0.0049
2013/7/7,1.3671,5.425,3.2985,3.7029,3.8887,4.3498,4.8486,4.2253,4.2745,4.4001,8962232,3982735,8920335,41897,336880,3645855,0.5808,0.2386,-0.3751,-0.8777,-0.3854,-0.0038,-0.1062,-0.0606,-0.0076,-0.0034
2013/7/8,1.3129,5.279,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4,57258266,8347729,57218409,39857,852530,7495199,0.7897,0.3461,-0.394,-0.8797,-0.2468,-0.0205,-0.1067,-0.0714,-0.0086,-0.0006
2013/7/9,1.3096,5.15,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4,26798941,3473059,26755943,42998,765509,2707550,0.8902,0.4544,-0.4221,-0.8226,-0.1897,-0.0587,-0.1097,-0.048,-0.0017,-0.0049
2013/7/10,1.2792,5.047,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4,30696506,2597169,30644691,51815,603737,1993432,0.7911,0.5703,-0.3187,-0.6891,-0.3196,0.0143,-0.0931,-0.046,0.002,-0.0023
2013/7/11,1.2616,4.959,3.3547,3.81,3.906,4.351,4.6955,4.2199,4.2705,4.4,44075197,3508800,44021031,54166,981695,2527105,0.5809,0.6659,-0.2336,-0.7258,-0.1868,0.0071,-0.0772,-0.0496,-0.0019,0.0049
2013/7/12,1.2487,4.884,3.3,3.8,3.928,4.128,4.691,4.2189,4.2704,4.4,34183904,8492573,34126845,57059,1371072,7121501,0.7216,0.7375,-0.0893,-0.7545,-0.2673,0.0939,-0.072,-0.0402,-0.0002,-0.0047
2013/7/13,1.2396,4.815,3.3358,3.7915,3.9264,4.0247,4.688,4.2185,4.2703,4.4,15164717,3482829,15103661,61056,309654,3173175,0.786,0.8174,-0.0176,-0.776,-0.2961,0.0841,-0.0543,-0.03,-0.0061,-0.0077
2013/7/14,1.2394,4.745,3.3993,3.8205,3.916,4.1066,4.6842,4.2186,4.2702,4.4,22615303,2784107,22554354,60949,592038,2192069,0.7209,0.87,-0.0338,-0.7589,-0.2268,0.0269,-0.0223,-0.019,-0.0036,-0.0037
2013/7/15,1.1985,4.682,3.2998,3.809,3.94,4.2705,4.6785,4.2185,4.2701,4.4,48128555,13107943,48069686,58869,1521794,11586149,0.679,0.8758,-0.1238,-0.6074,-0.1471,0.08,0.0038,-0.0428,0.0025,-0.0013
2013/7/16,1.2214,4.634,3.013,3.706,4,4.424,4.6703,4.2176,4.27,4.4,50622847,11864981,50559618,63229,1529687,10335294,0.7062,0.8047,-0.2655,-0.3588,-0.114,0.2596,0.0024,-0.0137,0.0021,-0.0016
2013/7/17,1.1829,4.582,2.968,3.596,3.992,4.53,4.662,4.2166,4.27,4.4,29015682,10911513,28946382,69300,2109498,8802015,0.7368,0.8228,-0.3646,-0.2293,-0.0966,0.2405,0.0262,-0.034,-0.0077,0.0002
2013/7/18,1.1896,4.543,2.998,3.634,3.996,4.61,4.6578,4.2173,4.27,4.4,24234505,11765356,24160561,73944,3195410,8569946,0.6747,0.8533,-0.3897,-0.2047,-0.0369,0.2148,0.0432,-0.0166,-0.0035,0.0021
2013/7/19,1.2032,4.518,3.04,3.745,4.057,4.669,4.6525,4.2173,4.27,4.4,33680124,9244769,33603190,76934,1204252,8040517,0.5454,0.8797,-0.3495,-0.2126,0.0055,0.2228,0.0404,0.0008,-0.0021,0.0042
2013/7/20,1.1964,4.494,3.0708,3.8318,4.0924,4.6978,4.6508,4.2173,4.27,4.4,20439079,4601143,20360981,78098,1780862,2820281,0.4568,0.9176,-0.3135,-0.2268,0.0491,0.2285,0.0508,-0.009,-0.0048,0.0013
2013/7/21,1.1962,4.471,3.0894,3.8871,4.0983,4.7288,4.6516,4.2174,4.27,4.4,21142394,2681331,21064648,77746,761299,1920032,0.4039,0.9315,-0.3021,-0.226,0.0913,0.2287,0.0627,-0.0035,-0.0009,0.0001
2013/7/22,1.1547,4.447,3.1035,3.925,4.099,4.806,4.6515,4.2173,4.27,4.4,40448896,19144267,40374049,74847,605231,18539036,0.358,0.9523,-0.3222,-0.2024,0.1506,0.2139,0.0691,-0.0353,-0.003,-0.0055
2013/7/23,1.1826,4.426,3.1355,3.959,4.11,4.99,4.6517,4.2173,4.27,4.4,58136147,24404051,58056583,79564,2173231,22230820,0.2273,0.9505,-0.4018,-0.1414,0.2359,0.1725,0.0955,-0.0042,0.0044,0
2013/7/24,1.1805,4.424,3.23,4.011,4.131,5.293,4.661,4.2189,4.27,4.4,48422518,36258592,48337561,84957,712047,35546545,-0.005,0.9349,-0.542,-0.0678,0.3635,0.0574,0.1254,-0.0099,0.0042,0.0059
2013/7/25,1.1645,4.411,3.3495,4.132,4.258,5.468,4.6601,4.2185,4.27,4.4,57433418,38212836,57347209,86209,1557611,36655225,-0.2584,0.9805,-0.5377,-0.0287,0.4088,0.0046,0.1393,-0.0184,0.0055,-0.0018
2013/7/26,1.1777,4.397,3.55,4.351,4.62,5.722,4.667,4.2189,4.27,4.4,44721817,39192369,44633279,88538,1035450,38156919,-0.7739,1.053,-0.4782,0.0605,0.3835,-0.0469,0.1688,-0.0082,0.0039,0.0048
2013/7/27,1.1728,4.384,3.6935,4.6668,5.0669,5.894,4.6725,4.2195,4.27,4.4,17194451,15058893,17102400,92051,1922114,13136779,-1.3206,1.1318,-0.3079,0.1248,0.3403,0.0286,0.1678,-0.0186,0,0.0051
2013/7/28,1.1726,4.371,3.7425,4.9543,5.4169,5.9645,4.6734,4.2198,4.27,4.4,36255382,7683211,36164421,90961,1161872,6521339,-1.7182,1.1792,-0.1284,0.1626,0.3135,0.1578,0.1588,-0.0179,0.0039,0.0036
2013/7/29,1.1515,4.369,3.703,5.057,5.5,5.988,4.671,4.2201,4.27,4.4,53512076,18599364,53423360,88716,1202332,17397032,-1.8216,1.1786,-0.0777,0.1747,0.335,0.245,0.148,-0.0396,0.0123,0.0037
2013/7/30,1.1958,4.377,3.641,4.972,5.34,5.889,4.667,4.2203,4.27,4.4,47481243,13048582,47387817,93426,1318647,11729935,-1.6124,1.145,-0.1127,0.1277,0.3464,0.2394,0.1278,0.0106,0.0085,0.0004
2013/7/31,1.2088,4.392,3.699,4.971,5.453,5.34,4.6645,4.2199,4.27,4.4,54569637,9534040,54465204,104433,1191442,8342598,-1.4194,1.2325,0.2419,-0.0824,0.0428,0.3358,0.089,0.0135,0.0062,-0.0025
2013/8/1,1.2026,4.413,3.549,4.545,5.36,4.846,4.6635,4.2193,4.27,4.4,53369962,18864468,53261431,108531,1935577,16928891,-0.8531,1.2185,0.3102,-0.0953,-0.3128,0.3873,0.0696,0.0125,0.0074,0
2013/8/2,1.222,4.437,3.2539,4.314,4.55,4.642,4.6595,4.2198,4.27,4.4,38064536,40150769,37949861,114675,1140935,39009834,-0.0658,1.0602,0.0782,-0.3108,0.0024,0.3682,0.0455,0.0317,-0.0017,0.0015
2013/8/3,1.2154,4.46,3.0967,4.3398,4.0596,4.5657,4.6567,4.2202,4.27,4.4,21595789,20701797,21479421,116368,1725397,18976400,0.2842,0.9654,-0.0301,-0.4951,0.2954,0.3923,0.0195,0.0184,0.0038,-0.001
2013/8/4,1.2152,4.483,3.0741,4.422,4.0425,4.5506,4.6556,4.2202,4.27,4.4,45745254,8263965,45630463,114791,1389042,6874923,0.2721,0.9418,-0.0077,-0.5456,0.342,0.4411,-0.0025,0.0121,-0.0011,0.0022
2013/8/5,1.1875,4.503,3.1,4.356,4.31,4.575,4.655,4.2198,4.27,4.4,43632203,15797507,43520180,112023,1757807,14039700,0.1239,0.9621,0.0299,-0.413,0.1501,0.4521,-0.002,-0.0182,-0.001,0.0008
2013/8/6,1.204,4.507,3.1,4.066,4.549,4.6005,4.6538,4.2193,4.27,4.4,50866184,16401387,50749514,116670,2956008,13445379,0.1167,0.9687,-0.0388,-0.1976,-0.1495,0.4195,0.0172,-0.0064,0.0017,0.0017
2013/8/7,1.2118,4.509,3.1005,3.873,4.361,4.58,4.6515,4.2197,4.27,4.4,43908081,29708706,43781998,126083,1552975,28155731,0.3282,0.9462,-0.1543,-0.199,-0.1475,0.304,0.029,0.0066,0.0053,-0.0041
2013/8/8,1.2155,4.516,3.1641,3.7585,4.42,4.595,4.6504,4.2198,4.27,4.4,44493490,29551691,44364177,129313,1136867,28414824,0.3212,0.9585,-0.1889,-0.1457,-0.2498,0.2328,0.0501,0.0115,0.0056,0.0016
2013/8/9,1.2174,4.513,2.914,3.64,4.3,4.535,4.6501,4.2198,4.27,4.4,33425186,30131015,33294291,130895,3500833,26630182,0.5665,0.8763,-0.2632,-0.0771,-0.2246,0.3715,0.034,0.0132,-0.0044,-0.0005
2013/8/10,1.2128,4.512,2.7584,3.5924,4.1958,4.488,4.65,4.2199,4.27,4.4,20615307,26614408,20482505,132802,1290443,25323965,0.7224,0.831,-0.3061,-0.0625,-0.1865,0.4656,0.0276,0.0132,0,0.0001
2013/8/11,1.2126,4.511,2.7929,3.6083,4.1675,4.4796,4.65,4.22,4.27,4.4,55519543,15372680,55388879,130664,925608,14447072,0.7236,0.8452,-0.2868,-0.0963,-0.1677,0.4332,0.0213,0.0093,0,0.0034
2013/8/12,1.1886,4.511,2.9645,3.648,4.168,4.5,4.65,4.22,4.27,4.4,94520502,28586669,94394024,126478,2062992,26523677,0.6438,0.8998,-0.2669,-0.1643,-0.1646,0.3069,0.0342,-0.0159,-0.0018,0.0027
2013/8/13,1.2143,4.517,3.2253,3.702,4.16,4.524,4.65,4.2198,4.27,4.4,48720919,28790328,48590757,130162,3646077,25144251,0.523,0.9606,-0.2336,-0.2744,-0.1646,0.1068,0.0564,0.0084,-0.0043,-0.0009
2013/8/14,1.2201,4.521,3.435,3.855,4.16,4.505,4.65,4.2198,4.27,4.4,30541167,15031683,30394880,146287,2060843,12970840,0.3876,1.0292,-0.1294,-0.4237,-0.1305,-0.002,0.0526,0.0182,0.0036,-0.0009
2013/8/15,1.2184,4.523,3.283,3.994,4.119,4.517,4.6502,4.2198,4.27,4.4,42421222,52659327,42271280,149942,6412165,46247162,0.3798,0.9848,-0.1149,-0.4395,0.002,0.1581,0.0329,0.0108,0.0012,-0.0002
2013/8/16,1.219,4.524,3.209,3.772,3.823,4.56,4.6503,4.2198,4.27,4.4,41683536,33739844,41535972,147564,1588741,32151103,0.6662,0.9179,-0.3172,-0.4258,0.0864,0.0525,0.0497,0.0105,0.0007,-0.006
2013/8/17,1.215,4.525,3.1138,3.6514,3.9984,4.5927,4.6502,4.2198,4.27,4.4,17670519,4674983,17522875,147644,1555761,3119222,0.6436,0.8978,-0.3457,-0.2554,-0.0486,0.1287,0.0494,0.0137,-0.0019,-0.0021
2013/8/18,1.2148,4.526,3.1058,3.7641,4.565,4.682,4.6517,4.2198,4.2699,4.4,59703092,15218300,59555804,147288,1049130,14169170,0.2017,0.9369,-0.206,-0.0399,-0.2953,0.2982,0.0446,0.0089,-0.0043,0.0025
2013/8/19,1.1987,4.532,3.403,4.092,5.156,4.925,4.6573,4.2198,4.27,4.4,109184209,28339260,109039743,144466,2827001,25512259,-0.5187,1.0541,-0.0184,0.0459,-0.4181,0.2767,0.059,-0.0191,0.0027,0.0008
2013/8/20,1.2288,4.54,3.854,4.428,5.467,5.218,4.6636,4.2198,4.2701,4.4,53675509,30131225,53525266,150243,2331156,27800069,-1.1694,1.1665,0.0826,-0.0079,-0.3847,0.0547,0.0853,0.005,0.0018,-0.0015
2013/8/21,1.2307,4.545,3.517,4.219,5.4,5.04,4.658,4.2198,4.27,4.4,38184446,29983342,38016570,167876,1487466,28495876,-0.8308,1.0816,0.0392,0.0954,-0.4746,0.2667,0.0578,0.0055,-0.0001,0.0037
2013/8/22,1.2187,4.546,3.357,4.115,5.046,4.968,4.662,4.2198,4.27,4.4,89130737,25000672,88961196,169541,2011337,22989335,-0.4792,1.0081,-0.0709,0.0208,-0.3287,0.2823,0.0576,-0.0007,0.0077,0.0002
2013/8/23,1.2236,4.548,3.265,4.149,5.171,5.016,4.662,4.2198,4.27,4.4,37878575,25680323,37707135,171440,2928413,22751910,-0.5699,0.9839,-0.0694,0.1088,-0.3408,0.3903,0.0404,0.005,0.0041,-0.0066
2013/8/24,1.2204,4.551,3.1817,4.0821,5.2077,5.0413,4.6614,4.2198,4.27,4.4,44367268,14316598,44188538,178730,3151997,11164601,-0.5413,0.9546,-0.1045,0.1897,-0.382,0.4355,0.0417,0.0005,0.0024,0.0039
2013/8/25,1.2202,4.554,3.1107,3.9874,5.1374,5.0323,4.6617,4.2198,4.2701,4.4,43306288,18117808,43128521,177767,1946279,16171529,-0.4246,0.9264,-0.1737,0.2246,-0.3765,0.444,0.0511,-0.002,0.001,0.0047
2013/8/26,1.185,4.546,3.037,4.023,5.196,5.007,4.6619,4.2198,4.2701,4.4,74496541,20637986,74325753,170788,3918170,16719816,-0.4406,0.922,-0.1329,0.2483,-0.3874,0.5386,0.0378,-0.0309,0.0041,0.0013
2013/8/27,1.2131,4.538,3.006,4.209,5.382,4.974,4.6609,4.2198,4.2701,4.4,45268028,60137633,45089370,178658,1713586,58424047,-0.6109,0.9383,0.008,0.2564,-0.4045,0.678,0.0168,-0.0059,-0.0011,-0.0015
2013/8/28,1.213,4.528,3.098,4.259,5.015,4.929,4.6586,4.2198,4.2701,4.4,46602319,33696861,46414328,187991,3193850,30503011,-0.4282,0.9504,-0.0337,0.0383,-0.1917,0.5363,0.0253,-0.005,0.0029,-0.0038
2013/8/29,1.3194,4.583,2.957,4.318,4.4,4.903,4.658,4.2198,4.2701,4.4,47518666,35944968,47312464,206202,9618879,26326089,-0.0568,0.8037,-0.1971,-0.2254,0.194,0.5164,-0.0251,0.0863,0.0024,0.0012
2013/8/30,1.4113,4.686,3.034,3.7355,4.311,4.805,4.6572,4.2198,4.2701,4.4,56488844,20630752,56266206,222638,7687108,12943644,0.2947,0.7303,-0.4167,-0.1375,-0.1567,0.2525,-0.0158,0.1601,-0.0022,-0.0029
2013/8/31,1.2201,4.685,3.0912,3.4528,4.3877,4.729,4.6567,4.2198,4.2701,4.4,47655303,22012016,47459849,195454,3582164,18429852,0.4182,0.7881,-0.4429,-0.0231,-0.3817,0.1461,0.0222,-0.0238,-0.0023,-0.0033
2013/9/1,1.2199,4.685,3.0681,3.5495,4.3796,4.6745,4.6564,4.2198,4.2701,4.4,56239802,59339949,56045782,194020,8984938,50355011,0.4092,0.7908,-0.3753,-0.0732,-0.3446,0.2101,0.0105,-0.0248,0.0005,0.0061
2013/9/2,1.4475,4.829,3.0188,3.742,4.15,4.6,4.6561,4.2198,4.2701,4.4,140844739,17785524,140622201,222538,4903664,12881860,0.4654,0.6324,-0.3654,-0.3378,-0.1826,0.2678,-0.0862,0.1667,-0.0013,-0.003
2013/9/3,1.2339,4.84,3.0006,3.75,3.763,4.523,4.6558,4.2198,4.2701,4.4,80507880,39328144,80314060,193820,3826502,35501642,0.7429,0.6308,-0.4179,-0.5073,0.0419,0.1971,-0.0765,-0.0419,-0.0026,0.0011
2013/9/4,1.2349,4.852,3.005,3.498,3.747,4.581,4.6566,4.2198,4.2701,4.4,33366708,27452600,33149101,217607,5123201,22329399,0.8392,0.6097,-0.5618,-0.3915,-0.0733,0.0922,-0.0492,-0.0435,-0.0037,0.003
2013/9/5,1.2374,4.807,2.89,3.456,3.705,4.574,4.6566,4.22,4.2703,4.4,38716505,21800904,38491932,224573,4026090,17774814,0.9369,0.6027,-0.5937,-0.3355,-0.0399,0.1601,-0.0446,-0.032,-0.0035,-0.002
2013/9/6,1.5058,4.859,2.95,3.469,3.716,4.484,4.6573,4.2198,4.27,4.4,38923186,33417903,38648043,275143,2960086,30457817,0.9284,0.544,-0.5465,-0.4396,-0.1217,0.1436,-0.0799,0.2103,-0.0028,-0.0012
2013/9/7,1.2415,4.87,2.9979,3.4676,3.7203,4.4255,4.6578,4.2197,4.2698,4.4,34076183,20344424,33848786,227397,4674119,15670305,0.9559,0.6067,-0.4938,-0.4606,-0.1468,0.1085,-0.0678,-0.0391,0.0017,-0.0026
2013/9/8,1.2381,4.88,2.9795,3.4832,3.7096,4.4524,4.6576,4.2197,4.2699,4.4,38796909,14919122,38571047,225862,3458751,11460371,0.9434,0.59,-0.5092,-0.4494,-0.1186,0.1265,-0.0736,-0.0447,-0.0022,-0.0003
2013/9/9,1.44,4.876,2.92,3.554,3.714,4.598,4.6564,4.2198,4.27,4.4,49312473,45621186,49051334,261139,5640803,39980383,0.8376,0.5254,-0.5837,-0.422,-0.027,0.1694,-0.0816,0.1486,-0.0038,0.0013
2013/9/10,1.4214,4.979,2.8955,3.625,3.746,4.862,4.6549,4.2198,4.27,4.4,94684143,37128363,94427415,256728,4737939,32390424,0.6371,0.4236,-0.7256,-0.3615,0.0788,0.1619,-0.113,0.1068,-0.0092,-0.0043
2013/9/11,1.2527,4.989,3.014,3.482,3.767,5.138,4.6559,4.2198,4.27,4.4,98944459,71674082,98709145,235314,4887487,66786595,0.532,0.4368,-0.9192,-0.214,0.0874,-0.0227,-0.0622,-0.0622,-0.0026,0.0047
2013/9/12,1.2598,5.001,2.967,3.494,3.8,5.374,4.6563,4.2198,4.27,4.4,68573684,45147220,68334304,239380,6134732,39012488,0.3912,0.3904,-1.0483,-0.0942,0.1687,-0.025,-0.051,-0.0616,0.0021,0.0042
2013/9/13,1.3805,4.932,2.979,3.57,3.852,5.4834,4.6571,4.22,4.27,4.4,71655946,60512675,71385620,270326,6513431,53999244,0.2666,0.4085,-1.0616,-0.0524,0.2353,-0.0093,-0.0324,0.0683,0.0037,0.0008
2013/9/14,1.2613,4.943,2.8795,3.5484,3.8028,5.5252,4.6572,4.2201,4.27,4.4,30975443,36312660,30726657,248786,2449865,33862795,0.3232,0.3851,-1.1101,-0.0016,0.2953,0.0433,-0.042,-0.0498,0.0043,0.0015
2013/9/15,1.2611,4.956,2.8033,3.4808,3.6877,5.5676,4.6568,4.2201,4.27,4.4,37059683,25020715,36813279,246404,2993592,22027123,0.4203,0.3394,-1.207,0.0228,0.353,0.0384,-0.0375,-0.0474,-0.0037,0.0016
2013/9/16,1.4143,4.942,3.008,3.469,3.592,5.67,4.6569,4.22,4.27,4.4,161656210,45184589,161382323,273887,4585488,40599101,0.365,0.3573,-1.2802,-0.0534,0.4038,-0.1692,-0.0191,0.101,0.0021,-0.0032
2013/9/17,1.2495,4.848,3.493,3.583,3.64,5.836,4.6579,4.22,4.27,4.4,76204815,58260798,75960756,244059,3075100,55185698,0.0665,0.5852,-1.2263,-0.1325,0.4649,-0.5337,0.0734,-0.0434,-0.001,0.0042
2013/9/18,1.3366,4.894,3.557,3.749,3.9325,5.913,4.6584,4.22,4.27,4.4,42926608,47203221,42645589,281019,2788140,44415081,-0.266,0.5786,-1.1342,-0.0999,0.385,-0.4712,0.041,0.0337,0.0068,0.0006
2013/9/19,1.2594,4.893,3.4605,3.8368,4.0457,5.9379,4.6568,4.22,4.27,4.4,24778048,11418512,24509091,268957,2197881,9220631,-0.3543,0.5733,-1.0867,-0.0433,0.3922,-0.3393,0.0301,-0.0388,0.0011,0.0019
2013/9/20,1.2592,4.827,3.3813,3.8659,3.9882,5.9426,4.6549,4.22,4.27,4.4,28365762,15188254,28094290,271472,2462918,12725336,-0.3037,0.5895,-1.0956,-0.0231,0.4756,-0.2801,0.0496,-0.0262,0.0043,0.0047
2013/9/21,1.2569,4.825,3.394,3.897,3.9215,5.9413,4.6556,4.22,4.27,4.4,32406340,26596179,32133842,272498,2655841,23940338,-0.2803,0.5923,-1.093,-0.0671,0.5364,-0.3009,0.0484,-0.0342,0.0015,-0.0016
2013/9/22,1.2567,4.822,3.573,3.991,4.007,5.948,4.6617,4.22,4.27,4.4,67514169,47962055,67243692,270477,4795752,43166303,-0.4312,0.6591,-1.0151,-0.1312,0.5066,-0.391,0.057,-0.0315,0.0025,0.0062
2013/9/23,1.2346,4.724,3.815,4.232,4.35,6.004,4.6717,4.22,4.27,4.4,54658160,58285879,54396879,261281,13664826,44621053,-0.8405,0.8223,-0.7995,-0.1207,0.449,-0.4238,0.1086,-0.0283,0.0045,0.0027
